Accept	I accept your invitation.
Accuse	She accused him of stealing her phone.
Achieve	He achieved his dream of becoming a doctor.
Acknowledge	She acknowledged her mistake.
Acquire	He acquired a new car.
Adapt	He adapted to the new job quickly.
Add	She added sugar to her tea.
Adjust	He adjusted his tie before the interview.
Admire	She admired his courage.
Admit	He admitted to stealing the money.
Adopt	She adopted a stray cat.
Adore	He adored his wife.
Advise	She advised him to take a break.
Afford	They couldn’t afford to buy a new car.
Agree	They agreed to meet at the park.
Aim	He aimed the gun at the target.
Allow	She allowed him to stay out late.
Announce	They announced their engagement.
Anticipate	He anticipated the arrival of his guests.
Apologize	He apologized for being late.
Appear	The sun appeared from behind the clouds.
Apply	She applied for the job.
Appreciate	He appreciated her help.
Approach	She approached the door cautiously.
Approve	They approved the budget proposal.
Argue	They argued about politics.
Arise	A problem arose during the project.
Arrange	She arranged the flowers in a vase.
Arrive	They arrived at the airport early.
Ask	He asked her for her phone number.
Assume	He assumed she was coming to the party.
Assure	He assured her that everything would be alright.
Astonish	He astonished everyone with his magic tricks.
Attach	She attached the document to the email.
Attempt	He attempted to climb the mountain.
Attend	She attends church every Sunday.
Attract	The colorful flowers attracted the butterflies.
Avoid	She avoided the topic of politics.
Awake	He awoke to the sound of his alarm.
Bake	I need to bake a cake for the party.
Bathe	I like to bathe in the morning.
Be	It’s important to be kind to others.
Bear	I can’t bear the thought of losing you.
Beat	The drummer will beat the drums all night long.
Become	She wants to become a doctor someday.
Beg	He had to beg for forgiveness after his mistake.
Begin	Let’s begin the meeting with an introduction.
Behave	He needs to behave himself when he’s in public.
Believe	I believe in the power of hard work.
Belong	These books belong to the library.
Bend	He needs to bend his knees when he lifts weights.
Bet	I bet he can’t solve that math problem.
Bind	We need to bind these papers together.
Bite	The dog will bite if it feels threatened.
Blow	The wind will blow the leaves away.
Boil	Please boil the water before making tea.
Borrow	Can I borrow your pen for a minute?
Bounce	The ball will bounce if you throw it on the ground.
Bow	The violinist will bow at the end of the performance.
Break	Don’t break that vase, it’s valuable.
Breed	She plans to breed her dogs next year.
Bring	Could you bring me some water, please?
Broadcast	The radio station will broadcast the news every hour.
Build	They will build a new hospital in the city.
Burn	The candle will burn brightly in the dark.
Burst	The balloon will burst if you blow it up too much.
Buy	I need to buy some groceries at the store.
Calculate	She calculated the total cost of the trip.
Can/Could	To be able to do something
Care	She cares deeply about the environment.
Carry	He carried the heavy box upstairs.
Catch	She caught the ball with one hand.
Celebrate	They celebrated their anniversary with a party.
Change	She changed her hairstyle for the wedding.
Choose	He chose the red shirt over the blue one.
Chop	She chopped the vegetables for the soup.
Claim	He claimed to have witnessed the accident.
Climb	They climbed to the top of the mountain.
Cling	The child clung to her mother’s hand.
Come	She came to the party with her friends.
Commit	She committed to finishing the project on time.
Communicate	They communicated through email and phone calls.
Compare	She compared prices at several different stores.
Compete	He competed in the race and finished in first place.
Complain	He complained about the quality of the food.
Complete	She completed the project ahead of schedule.
Concern	The safety of our employees concerns us greatly.
Confirm	The test results confirmed her diagnosis.
Consent	He consented to let her borrow his car.
Consider	She considered all the options before making a decision.
Consist	The salad consisted of lettuce, tomatoes, and onions.
Consult	He consulted with his lawyer before signing the contract.
Contain	The box contained a valuable collection of jewelry.
Continue	She continued to work on her project late into the night.
Convince	He convinced her to come to the party with him.
Cook	She cooked a delicious meal for her family.
Cost	The new car cost more than she had expected.
Count	She counted the money in her wallet.
Crawl	The baby crawled across the room.
Create	She created a beautiful painting.
Creep	The cat crept up on the bird.
Criticize	He criticized her performance in the play.
Cry	She cried when she heard the news.
Cut	She cut the cake into small pieces.
Dance	Let’s dance at the party.
Dare	I dare you to try the spicy food.
Deal	We need to deal with this problem.
Decide	I decided to go on vacation.
Defer	Let’s defer the meeting until next week.
Delay	The train was delayed by the snowstorm.
Deliver	The mail carrier delivered my package.
Demand	The protesters demanded justice.
Deny	He denied any involvement in the crime.
Depend	Our plans depend on the weather.
Describe	Can you describe what happened?
Deserve	She deserves a promotion for her work.
Desire	I desire a cup of coffee in the morning.
Destroy	The hurricane destroyed the town.
Determine	The judge will determine the verdict.
Develop	The company is developing new products.
Differ	We differ on our opinions about politics.
Disagree	I disagree with your assessment.
Discover	The scientist discovered a new species.
Discuss	Let’s discuss the plan at the meeting.
Dislike	I dislike mushrooms in my pizza.
Distribute	The charity will distribute food to the needy.
Dive	He decided to dive into the pool.
Do	Please do your homework before class.
Doubt	I doubt we will finish on time.
Drag	He had to drag his suitcase up the stairs.
Dream	Last night, I dreamed about flying through the clouds
Drill	The dentist will drill my tooth.
Drink	I always drink water with my meals.
Drive	She will drive us to the airport.
Drop	He dropped his keys on the floor.
Dry	Can you dry the dishes with a towel?
Earn	She earned a promotion by working hard.
Eat	I will eat pizza for dinner tonight.
Emphasize	The speaker emphasized the importance of education.
Enable	The new technology enabled faster communication.
Encourage	His parents encouraged him to follow his dreams.
Engage	She engaged in a conversation with her coworkers.
Enhance	The new software will enhance our productivity.
Enjoy	I enjoy reading books in my spare time.
Ensure	The lock on the door ensures our safety.
Entail	Buying a new car entails spending a lot of money.
Enter	She entered the room quietly so as not to disturb anyone.
Establish	The company was established in 1995.
Examine	The doctor examined the patient thoroughly.
Exist	Does extraterrestrial life exist in the universe?
Expand	The company plans to expand its business overseas.
Expect	I expect to hear back from the job interview soon.
